variety,colour
port,red
"corvina, rondinella, molinara",red
carmenère,red
meritage,red
g-s-m,red
mencía,red
nerello mascalese,red
rosato,rosé
sherry,white
st. laurent,red
rosado,rosé
fumé blanc,white
vidal blanc,white
semillon-sauvignon blanc,white
gros and petit manseng,white
carricante,white
gelber muskateller,white
chenin blanc-chardonnay,white
claret,red
petite verdot,red
touriga nacional-cabernet sauvignon,red
trincadeira,red
tokaji,white
muskat ottonel,white
xarel-lo,white
orange muscat,white
touriga nacional blend,red
antão vaz,white
negrette,red
plavac mali,red
norton,red
seyval blanc,white
chenin blanc-viognier,white
uva di troia,red
ruché,red
siria,white
black muscat,red
vidal,white
vignoles,white
aragonês,red
pallagrello,red
perricone,red
tocai,white
traminette,white
ugni blanc-colombard,white
carmenère-cabernet sauvignon,red
manzoni,white
okuzgozu,red
posip,white
sousão,red
carmenère-syrah,red
feteasca neagra,red
jaen,red
mantonico,white
narince,white
nascetta,white
blanc du bois,white
chenin blanc-sauvignon blanc,white
feteascǎ regalǎ,white
kisi,white
maturana,red
moscadello,white
nerello cappuccio,red
trousseau,red
braucol,red
carineña,red
mavrodaphne,red
sciaccerellu,red
semillon-chardonnay,white
códega do larinho,white
edelzwicker,white
emir,white
magliocco,red
mansois,red
muskat,white
vinhão,red
vranec,red
airen,white
chinuri,white
jacquez,red
listán negro,red
madeira blend,red
marawi,white
muscatel,white
nielluciu,red
papaskarasi,red
poulsard,red
pugnitello,red
rebula,white
souzao,red
touriga,red
alvarelhão,red
apple,white
black monukka,red
cariñena-garnacha,red
cayuga,white
feteasca,red
gragnano,red
groppello,red
hárslevelü,white
mandilaria,red
marquette,red
morio muskat,white
muscadine,white
other,red
plyto,white
portuguiser,red
rebo,red
sirica,red
tamjanika,white
yapincak,white
albanello,white
babosa negro,red
biancale,white
carcajolu,red
cercial,white
chardonel,white
dafni,white
diamond,white
doña blanca,white
ekigaïna,red
forcallà,red
francisa,red
früburgunder,red
gamza,red
gelber traminer,white
kangoun,white
karalahna,red
karasakiz,red
kinali yapincak,white
kuntra,red
maria gomes-bical,white
mavrokalavryta,red
mavrotragano,red
morava,white
muscadel,white
orangetraube,white
otskhanuri sapere,red
país,red
paralleda,white
petite syrah,red
premsal,white
roscetto,white
ryzlink rýnský,white
schwartzriesling,white
st. vincent,red
thrapsathiri,white
tsapournakos,red
tsolikouri,white
valvin muscat,white
vidadillo,red
xinisteri,white
zelen,white
